strategy,input_text,true_label,predicted_label,response_time,rationale,target_group_norm,persona_tag,source_dataset,status
baseline_conservative,dont you have any allegiance to your country?,hate,normal,1.2828538417816162,The statement is a rhetorical question about patriotism and does not target any protected group or contain hateful language.,middle_east,middle_east,canned_100_stratified,success
baseline_conservative,the type of individualism to which you refer is jewish inculcated special snowflake faggotry everyone group but retarded white cuckservatives practices identity politics collectivists will roll over the individual every time just admit you are too cowardly to stand up for your people,hate,hate,1.1912868022918701,"The text uses multiple slurs and derogatory language targeting protected groups (Jewish, LGBTQ, disabled, political) and promotes hostility, which meets the definition of hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,i want to see the hundreds of thousands of dollars of jewels the arabs gave moochelle and douchebag he got two major watches and she got a shitload of necklaces earrings etc she will never make that much again cleaning toilets,hate,hate,1.4487066268920898,"Text analysis fallback: {
  ""classification"": ""normal"",
  ""rationale"": ""The text contains insults toward individuals but doe",middle_east,arab,canned_100_stratified,success
baseline_conservative,Also my cousin got her face cut by a black and she died :(,hate,hate,1.5185060501098633,"The statement attributes a violent, fatal act to a person identified only by race ('a black'), which promotes a negative stereotype and can incite hatred toward that racial group.",mexican,mexican,canned_100_stratified,success
baseline_conservative,i feel calmer when i travel to mexico photos of mexico make me feel happy & relaxed i feel in my,normal,normal,0.7911214828491211,The text expresses personal positive feelings about Mexico and contains no hateful language or target.,mexican,mexican,canned_100_stratified,success
baseline_conservative,middle eastern women are generally very feminine,normal,normal,0.8452417850494385,"The statement is a general observation about a demographic and does not contain derogatory, threatening, or hateful language toward the group.",middle_east,middle_east,canned_100_stratified,success
baseline_conservative,really apart from tunnelling what have the arabs provided the world with,normal,hate,1.093456506729126,"The statement makes a negative generalization about Arabs, implying they have contributed nothing valuable, which is a derogatory stereotype toward an ethnic group.",middle_east,arab,canned_100_stratified,success
baseline_conservative,i cant fckn stand the towelhead,hate,normal,1.137643814086914,No response received,middle_east,arab,canned_100_stratified,success
baseline_conservative,<user> ay u insul ma niga raep wel im gon poz u neg hole u fugin spic,hate,normal,1.4505751132965088,"Text analysis fallback: {""final 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ",mexican,hispanic,canned_100_stratified,success
baseline_conservative,pro white married to a wetback he the best there is eat a fucking tide pod,hate,hate,1.5250418186187744,"The text uses the slur ""wetback"" and promotes a pro‑white stance, which are derogatory and target a protected group, constituting hate speech.",mexican,hispanic,canned_100_stratified,success
baseline_conservative,dykes love that lil black sports bra khaki pants combo,normal,normal,1.549952507019043,"Text analysis fallback: {
  ""classification"": ""normal"",
  ""rationale"": ""The text mentions a group using a reclaimed slur but",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,holly is a self-described hag dyke and a lesbian artist. thats a gay art person that is a butch.,normal,hate,1.42637038230896,"The text uses derogatory slur 'dyke' and demeaning language toward a lesbian individual, constituting hate speech against a protected sexual orientation group.",lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,"i have a lot in common with them, such as the fact that i like to eat tacos and burritos and i like to drink tequila",normal,normal,0.7860274314880371,No rationale provided,mexican,mexican,canned_100_stratified,success
baseline_conservative,well devildog you and i both know arabs turn and run,normal,hate,1.0311074256896973,"The statement makes a negative, stereotypical claim about Arabs as a group, which is hateful language targeting an ethnic group.",middle_east,arab,canned_100_stratified,success
baseline_conservative,white gay men mad they can not say dyke bc they do not have faggot to themselves lmao,normal,hate,1.0043025016784668,"The text uses derogatory slurs toward gay men and mocks them, constituting hate speech against a protected group.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,i think im gunna start a dyke club here at mary wash,normal,normal,1.2476320266723633,"The statement mentions starting a club and does not express hostility, demeaning language, or threats toward any protected group, so it does not constitute hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,okay but realistically speaking i am way better at dealing with heat than the cold arabs be like,normal,hate,1.347057819366455,"The statement uses a negative stereotype about Arabs, targeting an ethnic group in a disparaging way, which qualifies as hate speech.",middle_east,arab,canned_100_stratified,success
baseline_conservative,how you have done everything to open your mouth faggot stephanie is a genious all you have done these years is attack attack and nobody has put a stop to a faggot shit like you,hate,hate,1.3966155052185059,"The text uses the slur 'faggot' as an insult, which is hateful language targeting LGBTQ individuals.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,"thulium : a metalloid, 2 ; p4m2 (no proper noun)-- sappho : noun,",normal,normal,1.5260746479034424,The text contains only scientific and lexical references without any hateful language or target.,lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,Â boston.com -Â Barack Obama Plans To Offer Somber Apology For Slavery Tomorrow -Â us.yahoo.com -Â,hate,normal,1.5243775844573975,The text is a neutral news headline about a political figure's planned apology and contains no hateful language.,mexican,mexican,canned_100_stratified,success
baseline_conservative,"Julia Serano- Whipping Girl - Whipping Girl, Serano's third book, is an accessible, funny memoir and manifesto on transsexuality",normal,normal,0.7035176753997803,The text simply describes a book and its content without any hateful language or targeting of a protected group.,lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,i want to go to guadalajara with you,normal,normal,0.742729663848877,"The text is a simple, non‑offensive statement about traveling and contains no hateful language.",mexican,mexican,canned_100_stratified,success
baseline_conservative,my cousin is a faggot,normal,hate,0.9060096740722656,"The term 'faggot' is a derogatory slur targeting sexual orientation, constituting hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,How long does it take for our bank to get paid for our products?,normal,normal,0.8130273818969727,The text is a neutral inquiry about banking payment timelines and contains no hateful language.,middle_east,middle_east,canned_100_stratified,success
baseline_conservative,middle eastern guys have small dicks,hate,hate,0.9054431915283203,"The statement makes a derogatory, stereotypical claim about a protected group (Middle Eastern men), which is hateful content.",middle_east,middle_east,canned_100_stratified,success
baseline_conservative,"When I met him I was living in West Hollywood, but I was still in the closet,",normal,normal,0.947293758392334,"The text is a personal statement about living in West Hollywood and being closeted, without any hateful or discriminatory language.",lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,dykes literally look like this 😏 😏 at all times 😏 😏 their facial expressions jus do not change,normal,hate,1.0035953521728516,"The text uses a derogatory slur for lesbians ('dykes') and mocks their appearance, constituting hateful language toward a protected group.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,the penalty for not having proof of immigration should be death,hate,hate,1.1064348220825195,"The statement calls for the death penalty for individuals lacking immigration proof, advocating violence against a specific group based on their national origin, which constitutes hate speech.",mexican,mexican,canned_100_stratified,success
baseline_conservative,one thing i learned through my college education is that there are so many things i do not know anything about,hate,normal,0.797701358795166,The statement is a neutral reflection on personal learning and does not contain any hateful language or target any protected group.,lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,hope they keep getting hit fuck spics what has any spic or spook nation ever contributed to america besides leeches criminals and drugs,hate,hate,0.7985799312591553,"The text uses derogatory slurs and dehumanizing language toward specific ethnic groups, constituting hate speech.",mexican,hispanic,canned_100_stratified,success
baseline_conservative,i think its great that black people are speaking out about civil rights,hate,normal,0.8590185642242432,The statement expresses a positive view toward black people advocating for civil rights and contains no hateful language.,mexican,mexican,canned_100_stratified,success
baseline_conservative,maybe not unless of course you use the proper term instead of muslim refugee it may be more clear if you use street shitting sand niggers,normal,hate,0.8493621349334717,"The text uses a racial slur and derogatory language toward a protected group, which constitutes hate speech.",middle_east,arab,canned_100_stratified,success
baseline_conservative,"I've always disliked my genitalia but not how they function as opposed to the body itself, so I never really wanted to medically transition or whatever.",hate,normal,0.9213883876800537,The statement expresses personal discomfort with one's own body and does not target any protected group or contain hateful language.,lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,i am gay but that not queer what so strange about holding men dear i am cheery because i am gay and i am okay with me,normal,normal,0.8887119293212891,"The text expresses personal identity and positivity about being gay without targeting or disparaging any group, so it does not contain hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,i have so much fun driving up and down the hills around the city just to hear the sirens and horns honking at the drivers behind me,normal,normal,1.326319694519043,"The text describes personal enjoyment of driving and hearing sirens/horns, without targeting any protected group or containing hateful language.",mexican,mexican,canned_100_stratified,success
baseline_conservative,middle east has shitholes for countries,normal,hate,1.3251640796661377,"The statement uses a derogatory slur ('shitholes') to disparage countries in the Middle East, targeting a specific geographic and cultural group, which constitutes hate speech.",middle_east,middle_east,canned_100_stratified,success
baseline_conservative,idgaf let the dirty sand niggers fight it out,hate,hate,0.7221555709838867,"The text uses a racial slur and promotes violence against a protected group, which constitutes hate speech.",middle_east,arab,canned_100_stratified,success
baseline_conservative,<user> go back to israel with your sand nigger wife and mutt child,hate,hate,0.8558473587036133,"The text uses racial slurs and demeaning language targeting a person based on ethnicity, which constitutes hate speech.",middle_east,arab,canned_100_stratified,success
baseline_conservative,god hates queers they curse themselves to hell with them thank god for trump and his great decision to protect our military why shud our tax dollars support sin freeks,normal,hate,0.805509090423584,"The text uses derogatory slurs toward LGBTQ individuals and calls for them to be condemned, which constitutes hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,i see the future of britain as being a wasteland of ancient molten nuclear reactors and mutated arabs running around on camel legs if they have not been eaten by the metre long dire squirrels,hate,hate,0.999016284942627,"The text dehumanizes and disparages Arabs by describing them as mutated and using animalistic imagery, which constitutes hate speech toward an ethnic group.",middle_east,arab,canned_100_stratified,success
baseline_conservative,"the title, poem 1 (the hunger) is about a dark country, but that same country is named ""la mexica"". this country doesn",normal,normal,0.9459331035614014,The text merely describes a poem's title and a fictional country without any hateful language or targeting of a protected group.,mexican,mexican,canned_100_stratified,success
baseline_conservative,"when a girl walks by in dungarees, they ask her why she does not wear a hijab",hate,normal,1.1931018829345703,"The statement is a question about attire and does not contain derogatory or threatening language toward a protected group, so it does not meet the criteria for hate speech.",middle_east,middle_east,canned_100_stratified,success
baseline_conservative,when did it start that the media sell the unnormal as regular how many homosexual persons do you know in your real life and how often are they topic in the media,normal,hate,1.433779001235962,"The text describes homosexuality as ""unnormal"" and questions its presence, which is a derogatory stance toward a protected group, constituting hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,Separate people who are praying at the same time (in school) - - Hire more female teachers for female students - - Female students,hate,normal,1.4651505947113037,The text discusses school policies and staffing preferences without using derogatory or hateful language toward any protected group.,middle_east,middle_east,canned_100_stratified,success
baseline_conservative,"when i was in the navy, i was stationed in san diego, california.",hate,normal,0.8116014003753662,The statement is a factual personal anecdote without any hateful language or targeting of protected groups.,mexican,mexican,canned_100_stratified,success
baseline_conservative,the master bedroom isn't a master bedroom. it's a closet.,normal,normal,0.8263916969299316,The statement is a simple observation about a room's size and does not contain any hateful language or target a protected group.,lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,"i know a real middle eastern person, and he is a genius",hate,normal,0.7849094867706299,The statement positively describes a Middle Eastern person and contains no hateful language or slurs.,middle_east,middle_east,canned_100_stratified,success
baseline_conservative,for my part like jake blues i hate illinois nazis that nice i hate boomer faggots who think it hip to be down with the neegroes the blues man the blues so cool totally not the music of geriatric nigger loving cuck traitors they had sunglasses,hate,hate,0.8098864555358887,"The text uses multiple slurs and derogatory language toward protected groups, constituting hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,<user> never trust arabs,normal,hate,0.8617947101593018,"The statement makes a blanket negative generalization about Arabs, which is a protected group, constituting hate speech.",middle_east,arab,canned_100_stratified,success
baseline_conservative,be funny to watch people try to expel muzzies from bosnia and croatia best of luck to the suicidal inclined,hate,hate,1.0326576232910156,"The text uses a derogatory slur for Muslims ('muzzies') and calls for their expulsion, which constitutes hate speech targeting a religious group.",middle_east,arab,canned_100_stratified,success
baseline_conservative,"if people really want to become a different gender, they should take testosterone and become athletes",hate,hate,1.4359798431396484,"The statement mocks transgender identities by suggesting a reductive, demeaning course of action, targeting a protected group based on gender identity.",lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,because all of the above answers are offensive193. Â Â Â Â the spaniards and mexicans from the Far Right have been called the Third,normal,normal,2.274602174758911,"The text does not contain explicit hateful language, slurs, or calls for violence against a protected group; it merely references a group without overt hate speech.",mexican,mexican,canned_100_stratified,success
baseline_conservative,quit acting gay,normal,hate,0.9071085453033447,"The phrase targets a protected group (LGBTQ) with a derogatory command, constituting hateful or harassing language.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,"'i am a canadian from toronto, and i have to say you have a very beautiful voice, and your songs are beautiful and touching.",normal,normal,0.7177834510803223,"The text contains a positive compliment about someone's voice and songs, with no hateful or discriminatory language.",mexican,mexican,canned_100_stratified,success
baseline_conservative,a big part of coming out is choosing to come out to certain people and not others. coming out shouldn't be a one-time event; it,normal,normal,0.8031666278839111,The text discusses personal decisions about coming out and contains no hateful language or target groups.,lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,every arab woman is a slave to her husband,hate,hate,0.9226164817810059,"The statement makes a derogatory generalization about Arab women, dehumanizing them as 'slaves' and targeting a protected group, which constitutes hate speech.",middle_east,middle_east,canned_100_stratified,success
baseline_conservative,you all bitches always posting some faggot ass shit smfh,normal,hate,0.97566819190979,"The text uses homophobic slur 'faggot' and derogatory language, constituting hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,~-~-~-~-~-~-~-~-~-~-~-~-~-~-~-,normal,normal,1.0400502681732178,"The text contains only punctuation symbols and no hateful language or target, so it does not constitute hate speech.",middle_east,middle_east,canned_100_stratified,success
baseline_conservative,"i am going to actively work to prevent the trans community from achieving marriage equality in our state. i will fight for trans rights, but only so long",hate,hate,1.198486328125,"The statement expresses hostility toward the trans community and advocates actively preventing their civil rights, which constitutes hate speech against a protected group.",lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,flushed with victory after normalizing trannies exposing children to drag queens queer leftie freaks are now cooking up rationales for why it okay to touch kids down there toddlers understand the concept of consent see this video proves it what are you some kind of ageist bigot,hate,hate,1.2203402519226074,"The text uses slurs like ""trannies"" and demeaning language toward LGBTQ+ people, framing them as a threat to children, which constitutes hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,i just want a strong military,normal,normal,0.7276546955108643,The statement expresses a political opinion about military strength and does not target any protected group with hateful language.,middle_east,middle_east,canned_100_stratified,success
baseline_conservative,and fuck the faggot usa any nation that prides itself on being the first white nation of immigrants and cucks itself to death by allowing itself to become the minority deserves to wiped out you deserve your death you can not treat collective suicide like this not great loss to humanity,hate,hate,0.7725958824157715,"The text uses slurs and calls for the extermination of a group, expressing violent and hateful sentiments toward a protected class.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,do they have a lot of trannies over there i did not realize that oh well it nice to see fags btfo i can always agree with that which shitskin country has the entire class of gay eunuchs that live on the streets is it india i think it india,normal,hate,0.8811507225036621,"The text uses multiple derogatory slurs and demeaning language toward LGBTQ+ individuals and a racial group, which constitutes hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,come on faggot you can do better than that why do not you come at me with scholarly sources scratch that you raggedy ass faggots would not know a reputable source or scholars for that matter if it fucked you in the ass get thee behind me faggot,hate,hate,0.9312422275543213,"The text uses repeated homophobic slurs and demeaning language targeting LGBTQ individuals, which constitutes hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,dykes really be plottin on hoes for years they will sit there and be friends with a chick for years just waiting for them to slip up,hate,hate,0.8678750991821289,"The text uses derogatory slurs ('dykes', 'hoes') and depicts lesbians as malicious, which constitutes hate speech toward a protected group.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,"when it comes to makeup, asians win",hate,normal,1.0510916709899902,The statement expresses a positive opinion about Asians and does not contain any hateful or derogatory language toward any group.,middle_east,middle_east,canned_100_stratified,success
baseline_conservative,i am trying to figure out why a man would go to a lesbian joint to drink coffee nope nothing,normal,normal,1.0605089664459229,No rationale provided,lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,puritan prejudice made any sexual expression outside of marriage a crime in colonial massachusetts.- tax laws and census takers have treated same-sex couples who,normal,normal,0.988323450088501,"The text discusses historical prejudice and tax policies without endorsing or attacking a protected group, so it does not contain hate speech.",lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,what kind of salsa music do you listen to?,normal,normal,0.7214674949645996,The text is a neutral question about music preferences and contains no hateful or discriminatory language.,mexican,mexican,canned_100_stratified,success
baseline_conservative,i m from the philippines and i have no idea what the united states is angry about,normal,normal,0.8294961452484131,The statement is a personal observation without any derogatory or hateful language toward any protected group.,middle_east,middle_east,canned_100_stratified,success
baseline_conservative,Put billions of dollars in the budget for a solid defense,hate,normal,0.8344917297363281,The statement discusses budget allocation for defense and contains no hateful language toward any protected group.,mexican,mexican,canned_100_stratified,success
baseline_conservative,"i feel like because they are saying so as advocates of LGBTQ+ rights, that turns what they are saying into \\\""(I) ____ am",hate,normal,0.850515604019165,The text is an incomplete statement without any hateful language or targeting of a protected group.,lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,anyone who teaches their kids spanish should be shot in the face,hate,hate,0.9173111915588379,"The statement calls for violent harm against people based on their language teaching, which is a hateful, threatening expression.",mexican,mexican,canned_100_stratified,success
baseline_conservative,every day life is so much more meaningful if you actually understand the art and culture of the middle east,normal,normal,0.9440350532531738,The statement expresses appreciation for Middle Eastern art and culture and contains no hateful language toward any group.,middle_east,middle_east,canned_100_stratified,success
baseline_conservative,why did the white man invent the refrigerated train? to transport terrorists to camps to infiltrate our society,hate,hate,1.149836778640747,"The text attributes malicious intent to a racial group ('white man'), using derogatory language that promotes negative stereotypes, which constitutes hate speech.",middle_east,middle_east,canned_100_stratified,success
baseline_conservative,"Â here's the thing about mexicans, one you hear their americanized accent, you know their a mexican",hate,hate,1.2674527168273926,"The statement makes a negative ethnic stereotype about Mexicans, targeting a protected group based on nationality/ethnicity, which constitutes hate speech.",mexican,mexican,canned_100_stratified,success
baseline_conservative,so i posted on craigslist rnr wondering why there were so many beaners in this town and i get this as a response i knew there were illiterates out there but this one is ridiculous,normal,hate,0.8020830154418945,"The text uses a derogatory slur ('beaners') to refer to a specific ethnic group, which constitutes hate speech.",mexican,hispanic,canned_100_stratified,success
baseline_conservative,"i think it's great that these protesters are standing on the streets of york with protests - they are trying to protect their values, which is entirely",hate,normal,0.9001812934875488,The text expresses a positive view of protesters and contains no hateful language toward any protected group.,lgbtq,lgbtq,canned_100_stratified,success
baseline_conservative,i can see these jibber jabber arabs in dresses tripping down the street with an armload of shotguns,hate,hate,1.0828001499176025,"The text targets Arabs with derogatory language and associates them with violence, which meets criteria for hate speech.",middle_east,arab,canned_100_stratified,success
baseline_conservative,you d have to be a complete retard to not know its mccain you d have to be an even bigger retard to believe q anon is real you morons are giving this larping queer the attention he wants,normal,normal,1.1997287273406982,No rationale provided,lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,a gathering of faggots and dykes is a great place to verify the usefulness of thermobaric munitions,hate,hate,1.381500244140625,"The text uses derogatory slurs for LGBTQ+ groups and advocates violence against them, which meets the definition of hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,is it gay for you to ask your bro for the strap 😳 ✋ 🏼,normal,normal,1.5998945236206055,No response received,lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,<user> everybody is like “ omg delete this ” “ you ’ re so gay ” nah this is <number> this stupid bitches fault plus she recorded it 💯 💯 go isma 😹 😹,normal,hate,2.0210800170898438,"Text analysis fallback: {
  ""classification"": ""hate"",
  ""rationale"": ""The text uses homophobic language ('you’re so gay') an",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,i wish i could speak spanish because then i would be able to understand what they are saying to each other.,hate,normal,23.288950443267822,The statement simply expresses a desire to learn Spanish for better communication and contains no hateful language or targeting of a protected group.,mexican,mexican,canned_100_stratified,success
baseline_conservative,africans mexicans do not like the homos put up billboards in the ghetto barrio tying dems to gays i d like to see what happens next,hate,hate,1.2175993919372559,"The text uses derogatory slurs and targets multiple protected groups (Africans, Mexicans, homosexuals, political groups) in a hostile manner, which meets the criteria for hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,my colleagues n my chief use the french equivalent of fag on a big basis every day and call gay man that word like it is the wprd gay or homosexual and i am restraining myself from calling them all faggy fag faggots,hate,hate,1.5793092250823975,"Text analysis fallback: {
  ""classification"": ""hate"",
  ""rationale"": ""The text uses derogatory slurs like \""fag\"" and \""fagg",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,eat your dic wait thats gay,normal,hate,2.1522955894470215,"The phrase uses 'gay' as a derogatory slur and includes vulgar harassment, which constitutes hate speech toward LGBTQ individuals.",lgbtq,homosexual,canned_100_stratified,success
baseline_conservative,i learned about white privilege through my friend who brought me to zumba,normal,normal,2.7430896759033203,The statement discusses learning about a social concept and does not contain hateful language toward any protected group.,mexican,mexican,canned_100_stratified,success
baseline_standard,also that he a faggot and serial mudshark,hate,hate,1.000749111175537,"The text uses homophobic slur 'faggot' and a derogatory term 'mudshark', which constitute hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_standard,<number> it my birthday this month the supreme court is also hearing an important case starting <number> <number> re if someone can be fired for being lgbtq please do something nice for the queer folx in your life do not have any block and report homophobes on twitter there are plenty,normal,normal,1.1060969829559326,"The text does not contain hateful language; it discusses a birthday, a court case, and encourages support for LGBTQ individuals, which is not hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_standard,<user> <user> nigga called him gay for being athletic lmfao,normal,hate,1.3051528930664062,"The text uses the racial slur ""nigga"", which is considered hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_standard,"well, you did make some assumptions about mexicans, i think it's because of lack of knowledge, only because we speak spanish (if",normal,normal,1.549985408782959,"The statement critiques assumptions about Mexicans without expressing hostility, demeaning language, or calls for violence, so it does not constitute hate speech.",mexican,mexican,canned_100_stratified,success
baseline_standard,<user> they are both gay listen to better bands made by better bands gang,normal,normal,1.6149499416351318,"The text mentions 'gay' but does not contain slurs, threats, or demeaning language targeting a protected group, so it does not meet the criteria for hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_standard,noir is so good you gays,normal,hate,2.023630380630493,"The phrase addresses a protected group ('gays') in a potentially derogatory manner, which can be considered hateful language.",lgbtq,homosexual,canned_100_stratified,success
baseline_standard,ds does not remove posts like weevs because weevs post is not illegal it removes jidf faggots telling people to kill cops n shit,normal,hate,2.6874890327453613,"The text uses a derogatory slur against LGBTQ people and calls for violence against police, which meets the criteria for hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_standard,"middle easterners from arab/muslim countries are terrorists...we have to stop letting them in, they will turn germany into a 3",hate,hate,2.73983097076416,"The statement targets a protected group (Middle Easterners/Arab/Muslim people) with hateful stereotypes and calls for exclusion, which constitutes hate speech.",middle_east,middle_east,canned_100_stratified,success
baseline_standard,dont you have any allegiance to your country?,hate,normal,0.8355717658996582,The statement is a rhetorical question about patriotism and does not target any protected group or contain hateful language.,middle_east,middle_east,canned_100_stratified,success
baseline_standard,this is what an average iranian female looks like you faggots are retarded you all get the gas we need smarter people than this in the atavistic aryan future,hate,hate,1.018573522567749,"The text uses homophobic slur, demeaning language, and threatens violence, which meets criteria for hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_standard,why are playstation stans such faggots,normal,hate,0.910494327545166,"The statement uses a homophobic slur ('faggots') as an insult, which constitutes hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_standard,the type of individualism to which you refer is jewish inculcated special snowflake faggotry everyone group but retarded white cuckservatives practices identity politics collectivists will roll over the individual every time just admit you are too cowardly to stand up for your people,hate,hate,1.001129150390625,"The text uses multiple slurs and derogatory language targeting protected groups (Jewish, LGBTQ, disabled, political) and promotes hostility, which meets the definition of hate speech.",lgbtq,homosexual,canned_100_stratified,success
baseline_standard,"i imagine a great many people, when they hear the words lesbian and gay, initially conjure images of gay men.",normal,normal,1.1300036907196045,The statement merely describes a perception about how people might think of gay identities and does not contain hateful language or target any protected group.,lgbtq,lgbtq,canned_100_stratified,success
baseline_standard,Also my cousin got her face cut by a black and she died :(,hate,hate,1.5333061218261719,"The statement attributes a violent act and death to a person identified only by race ('a black'), which promotes a negative stereotype and is hateful toward that racial group.",mexican,mexican,canned_100_stratified,success
baseline_standard,"2) If you were to take a hundred percent true trans person, or a hundred percent true cis person, and a hundred percent false cis person,",hate,normal,2.03523850440979,"The excerpt is a neutral, incomplete statement about hypothetical categories of people and does not contain hateful language or target any group with hostility.",lgbtq,lgbtq,canned_100_stratified,success
baseline_standard,i want to see the hundreds of thousands of dollars of jewels the arabs gave moochelle and douchebag he got two major watches and she got a shitload of necklaces earrings etc she will never make that much again cleaning toilets,hate,normal,2.7399816513061523,The text contains insults toward individuals but does not contain hateful language targeting a protected group; the mention of 'Arabs' is not used in a derogatory or hateful manner.,middle_east,arab,canned_100_stratified,success
